,Product_code,Warehouse,1 Month Forecast,MAE,MSE,RMSE,Mean,STD,MSE/Mean,RMSE/STD,KS Test Value,KS p-Value,Status
124,Product_0097,Whse_A...Sequential,2739.210988,13338.88041,939299424.4,30647.99218,3191.666667,2377.133545,294297.4698,12.89283568,0.5,0.099546772,retrain
125,Product_0097,Whse_J...Sequential,-33.18067184,2631.731943,12662138.59,3558.389887,1783.333333,2015.702249,7100.264629,1.765335078,0.5,0.099546772,retrain
126,Product_0098,Whse_J...Sequential,139902.1641,48733.63765,2947900402,54294.57065,93000,47765.04998,31697.85379,1.136700803,0.333333333,0.53609777,deploy and monitor
127,Product_0099,Whse_J...Sequential,65712.19252,22352.91866,670093970.9,25886.17335,22666.66667,13480.4385,29562.9693,1.920276803,0.333333333,0.53609777,deploy and monitor
128,Product_0100,Whse_C...Sequential,12451.97344,37747.37554,4093649667,63981.63539,9508.333333,12799.44389,430532.8309,4.998782442,0.583333333,0.031436056,retrain
129,Product_0101,Whse_J...Sequential,3936.165599,2662.994005,10523033.99,3243.922624,2750,1026.726189,3826.557815,3.159481719,0.666666667,0.007859014,retrain
130,Product_0102,Whse_J...Sequential,185.8574041,88.95004407,12086.21444,109.9373205,25.08333333,25.11459845,481.8424361,4.377426965,0.416666667,0.255775185,retrain
131,Product_0103,Whse_J...Sequential,93.16498311,239.6887781,92016.63333,303.3424358,161.4166667,196.8757892,570.0565824,1.540780799,0.416666667,0.255775185,retrain
132,Product_0104,Whse_J...Sequential,34.94303561,165.6856055,56206.16359,237.0783912,107,52.46903849,525.2912485,4.518443601,0.333333333,0.53609777,deploy and monitor
133,Product_0105,Whse_J...Sequential,118.1126805,216.0782582,91836.04659,303.044628,145.5,106.0695527,631.1755779,2.85703692,0.333333333,0.53609777,deploy and monitor
134,Product_0106,Whse_S...Sequential,78.39232393,187.8584058,86415.44355,293.965038,72.6,78.70984691,1190.295366,3.73479367,0.3,0.786929788,deploy
135,Product_0107,Whse_J...Sequential,8941.431646,8757.138493,145260549.5,12052.40845,8833.333333,9728.252098,16444.59051,1.238907908,0.5,0.099546772,retrain
136,Product_0108,Whse_J...Sequential,110616.3966,47695.46976,3837571061,61948.13202,50000,33166.2479,76751.42121,1.867806458,0.333333333,0.53609777,deploy and monitor
137,Product_0109,Whse_J...Sequential,59944.64355,40677.92922,2669647050,51668.62732,55384.61538,30788.45553,48201.96062,1.678181852,0.307692308,0.588196066,deploy and monitor
138,Product_0110,Whse_J...Sequential,805.0177626,631.4388215,474724.858,689.0027997,1342.5,624.0630978,353.6125572,1.104059513,0.25,0.868981671,deploy
